red,green,blue
209,238,255
202,229,253
205,232,253
215,242,255
225,254,255
229,255,255
230,255,255
228,254,255
214,240,253
209,234,252
205,230,249
204,229,246
205,231,247
205,230,246
203,227,243
203,226,243
204,227,243
205,228,243
212,235,244
216,240,245
219,243,246
220,242,243
222,243,240
222,242,239
209,231,236
206,226,234
213,232,233
215,234,231
215,232,225
206,223,224
200,217,222
204,221,225
204,221,225
203,219,222
203,218,219
204,217,218
207,219,217
191,194,189
171,164,156
170,163,155
169,160,153
167,158,151
164,156,150
162,154,150
160,151,145
143,135,125
132,125,113
117,110,96
105,98,87
92,88,76
86,84,66
82,79,60
76,74,52
61,61,46
58,59,49
59,65,45
26,33,19
27,31,21
211,241,255
202,229,253
205,231,252
213,241,255
224,252,255
229,255,255
230,255,255
226,252,255
211,237,252
208,233,251
204,230,249
204,228,247
205,230,247
205,230,246
203,227,244
202,226,242
205,229,242
209,232,244
213,236,244
219,243,247
219,243,246
222,244,243
222,244,240
221,242,239
209,231,236
206,226,234
214,233,232
217,235,231
218,235,228
213,230,225
207,224,225
204,222,226
204,221,224
203,219,222
203,218,220
204,217,218
206,217,217
184,185,181
170,163,157
171,163,156
169,160,154
167,158,153
165,156,151
162,154,149
158,150,143
145,136,127
131,122,112
113,102,92
104,98,87
96,92,77
80,78,62
79,76,55
69,68,47
61,59,40
62,61,47
72,75,57
51,55,38
45,48,24
212,242,255
202,229,253
205,231,252
212,240,254
223,251,255
229,255,255
230,255,255
225,252,255
209,235,252
206,232,250
204,230,248
203,228,246
205,230,246
205,230,246
203,227,244
202,225,242
205,229,242
213,236,245
217,240,246
219,243,247
219,243,246
222,244,243
223,244,240
221,242,239
209,230,237
205,226,235
213,232,232
216,235,231
219,236,230
217,235,228
213,230,227
206,223,226
205,221,224
203,219,223
203,218,220
204,217,217
203,213,212
177,175,169
171,164,157
171,163,157
169,160,155
167,158,152
165,156,150
162,153,149
159,150,144
143,134,123
128,120,110
110,101,93
106,100,88
93,90,73
76,73,60
74,73,57
61,61,46
56,55,44
57,56,44
75,75,58
69,67,39
45,48,10
210,240,255
202,229,252
204,230,251
211,238,254
222,251,255
229,255,255
229,255,255
223,250,255
207,233,251
205,231,249
203,229,248
203,228,245
203,228,245
204,228,245
203,227,244
201,225,242
205,229,242
216,239,246
221,245,248
219,244,247
219,243,246
222,244,243
223,244,241
222,243,238
210,231,236
206,227,235
213,232,233
217,235,231
218,236,230
216,234,228
214,230,227
211,227,226
206,222,224
204,220,223
203,218,220
205,218,219
198,207,205
174,170,164
172,164,158
171,163,157
169,161,154
167,158,152
165,156,151
162,153,149
159,151,145
145,136,127
130,122,111
113,102,95
107,98,87
92,87,73
80,78,66
77,75,63
64,63,43
62,60,40
62,61,45
77,76,55
63,60,30
36,38,5
211,241,255
202,229,252
202,229,251
210,237,254
219,247,255
229,255,255
229,255,255
220,247,255
206,232,251
204,230,250
203,229,248
202,227,246
202,227,245
204,229,246
203,228,245
201,225,242
205,228,242
214,237,245
217,241,247
219,244,248
219,243,246
222,244,243
223,244,241
222,243,239
215,236,237
207,227,235
212,232,232
218,236,231
216,233,229
211,229,228
208,225,228
209,225,226
207,222,224
205,220,222
205,219,221
205,218,221
194,200,199
172,167,160
172,165,159
171,162,158
170,160,156
167,158,153
165,155,150
162,154,148
159,151,146
145,136,128
132,123,115
117,108,95
105,98,87
94,89,75
89,86,70
80,79,58
60,60,34
52,51,34
66,63,39
78,75,54
67,65,35
40,42,8
212,242,255
202,229,252
202,228,250
209,235,253
217,245,255
227,254,255
230,255,255
220,248,255
206,233,252
204,229,249
203,228,248
201,227,246
203,227,246
205,229,246
203,228,244
201,225,243
204,228,242
213,236,245
213,237,245
219,244,248
219,243,246
222,244,243
223,244,241
222,243,239
217,238,238
207,228,235
213,232,233
219,237,231
216,234,230
210,227,229
204,222,228
206,222,226
207,223,224
209,223,222
206,219,221
205,218,220
197,205,204
173,168,161
172,165,159
171,162,157
169,160,155
166,157,153
164,155,151
162,153,150
159,151,146
144,135,126
133,125,116
114,108,92
104,99,84
92,89,76
84,81,67
73,72,51
49,51,34
47,47,35
53,52,35
72,67,52
69,66,30
43,47,10
211,240,255
202,229,252
201,227,250
207,233,252
220,248,255
227,254,255
229,255,255
221,247,255
206,232,251
204,230,249
203,229,249
201,226,247
202,227,245
205,229,246
