,labels,m1s,m2s,a2s,a1s,qs,odds_1_5,odds_2,sm1s,sm2s,sa1s,sa2s,sqs,mcs,pNG,p_1,p_1_5,p_2
0,GW150914,35.504329854471294,31.023319523999252,0.0,0.0,0.8775681377829477,0.0005050149999291469,0.0016176784913894706,2.0705965634080843,1.8672837533633122,0.18112883100030036,0.19812907215944486,0.08929503907376482,28.88390040291922,0.0021181972078920808,0.9978818027921079,0.0005039452785663534,0.0016142519293257424
1,GW151012,21.12454135241819,14.952298562714683,0.0,0.0,0.7118275246208259,0.02300495631890906,0.015885934696054056,3.5844011226332206,2.1843405273935237,0.19894596070371912,0.23263675188429087,0.18228126415763385,15.43481218988391,0.03743501011638273,0.9625649898836173,0.022143765546383757,0.015291244569999076
2,GW151226,12.796557812177003,8.17484759480119,0.4894152484250164,0.5074048254488532,0.6384816064090062,0.4130913307673602,0.00010768700338286986,2.1002045353432472,1.0476511022896342,0.21856328421873053,0.25556275701023834,0.1641189440125844,8.85904047154487,0.29238558233825107,0.7076144176617489,0.2923093814620625,7.620087618850824e-05
3,GW170104,29.977253588189228,21.157412839941,0.0,0.0,0.7077828105283854,0.041399098779537416,0.005388950416117582,3.730390824014638,2.7590367128450963,0.25043639115018534,0.27768664156890166,0.1580277427336139,21.86433477028853,0.04469677431988883,0.9553032256801112,0.03954869260434165,0.005148081715547303
4,GW170608,10.506398618544004,7.939669817085015,0.3878357396124481,0.291030765612519,0.756945789898197,0.00534292518252189,1e-09,1.5726714481337873,0.8770353384794403,0.2342162675063036,0.2726609210467993,0.16331146674917674,7.936566293673804,0.0053145310355044995,0.9946854689644955,0.005314530040818999,9.946854689644955e-10
5,GW170729,51.36032131456463,31.783325085493324,0.43832806479665437,0.5192365043769247,0.6216159379087001,2.015570313279921,0.13794962256080093,8.264093574959025,6.528319402493714,0.32166292225008014,0.32304554069336505,0.18593413207299467,34.99489920273661,0.6828940294194138,0.3171059705805862,0.6391493804660455,0.04374464895336831
6,GW170809,33.35196505062336,24.469573093806225,0.0,0.0,0.734727951584172,0.00910191657552113,0.0025030001607332514,4.077409682343473,2.901660943414688,0.22378429443930115,0.2523846852940435,0.15619684064159767,24.813494250064753,0.011471787596382343,0.9885282124036177,0.00899750132184676,0.0024742862745356087
7,GW170814,29.74556146298119,25.45754961398277,0.0,0.0,0.8597544499485426,0.002987890510873262,0.008594138934095153,2.3233940372107167,1.920998633965646,0.30148226316889015,0.2898012680112998,0.11108114929042094,23.94646907737831,0.01144942190335596,0.988550578096644,0.00295368089181324,0.00849574101154264
8,GW170818,34.676559457997605,27.81488134899925,0.25489525760358106,0.30628547396593986,0.8076086220596949,0.02375514184169247,0.011348194320946099,3.4074841069079276,2.868093234363721,0.3436209657552685,0.3354730396802893,0.13414103896087837,27.015674869764613,0.033912880904021114,0.9660871190959789,0.022949536545557023,0.010963344358464164
9,GW170823,38.34834836756626,29.451530124319508,0.0,0.0,0.7789760865346098,0.0161568832532992,0.004212005756371706,4.840182056652912,3.778124741115538,0.26717697314672567,0.2780501666101333,0.14794285712250357,29.237434283830225,0.01996227955307439,0.9800377204469256,0.015834355033090455,0.004127924519983855
10,GW190521,85.15040413697794,64.21663423903402,0.5420818687467828,0.5333297527433302,0.7767366368783293,97.66817733796975,331.9958238054087,10.592089165594773,10.086746149270972,0.34135643133803245,0.35078773638664096,0.15863678698706324,64.39785099632269,0.9976780042043332,0.0023219957956668313,0.22678509714920825,0.770892907055105
11,GW190412,28.02289658862627,8.824829284199142,0.5128066830995368,0.3878321367676484,0.3151987693173719,0.31246948404093744,1.3966989255644437e-05,2.5966860449567464,0.8026535986385932,0.1421722814341195,0.28200641611911975,0.05933260403846414,13.266969325938694,0.23808563131589877,0.7619143686841012,0.2380749896660977,1.0641649801131956e-05
12,GW190408A,25.649583659960896,18.347385768980566,0.0,0.0,0.717139304989306,0.03036908044411796,0.010277696189775403,3.235993214826879,2.2976505597416574,0.23616711026958773,0.27564619196823176,0.1574085681251352,18.837282167227322,0.03905914816300171,0.9609408518369983,0.02918289003147704,0.009876258131524648
